city,area,profession,professionName,experience,education,wageStart,wageEnd,companyName,companyType,companySize,industry,tags,welfare,url,submitTime
北京,海淀区,前端工程师,高级前端工程师（小组长）,5-10年,本科,25,32,慧安金科,B轮,50-150人,人工智能、数据服务,Web前端; Vue,“牛人团队 免费三餐 期权 弹性上班时间 等”,https://www.lagou.com/jobs/8828237.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西三旗,前端工程师,前端负责人,5-10年,本科,40,60,易点租,D轮及以上,500-2000人,电商平台,前端开发; Web前端; Vue,“14薪 大牛多 班车接送”,https://www.lagou.com/jobs/8387863.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,web前端开发工程师,5-10年,本科,15,25,达内集团,上市公司,2000人以上,教育、培训,Vue; Angular,“高薪 上市企业 金股奖励 六险一金”,https://www.lagou.com/jobs/8328517.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,学院路,前端工程师,高级前端开发工程师,3-5年,本科,18,30,医渡云（北京）技术有限公司,上市公司,500-2000人,消费生活、医疗丨健康,Web前端; Vue,“弹性、不限量零食饮料、两餐自助、午间水果”,https://www.lagou.com/jobs/8554417.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,资深前端开发工程师,3-5年,本科,30,50,高途,上市公司,2000人以上,在线教育,React; HTML; Javascript; CSS,“六险一金、股票、上市公司”,https://www.lagou.com/jobs/7549308.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,望京,前端工程师,高级前端开发工程师,3-5年,本科,18,24,嘀嗒出行,D轮及以上,150-500人,旅游、出行,Vue,“平台大 福利健全 工作强度低”,https://www.lagou.com/jobs/8110596.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,西二旗,前端工程师,医美业务部_高级前端研发工程师,1-3年,本科,16,30,百度,上市公司,2000人以上,人工智能服务、信息检索、科技金融,前端开发; Web前端; HTML,“岗位前景较好”,https://www.lagou.com/jobs/7627702.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,海淀区,前端工程师,资深前端开发工程师(J10166),3-5年,本科,30,50,伴鱼,C轮,2000人以上,在线教育,在线教育; 架构师; Vue; Javascript,“福利好、空间大、产品棒”,https://www.lagou.com/jobs/8694877.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,前端研发工程师-游戏方向,3-5年,本科,20,40,火花思维,D轮及以上,2000人以上,在线教育,在线教育; 前端开发; Web前端; Unity3d; Cocos2d-X,“技术大牛”,https://www.lagou.com/jobs/8294963.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,前端开发（电话面试）,1-3年,大专,13,22,博彦科技,上市公司,2000人以上,人工智能服务、软件服务、咨询、数据服务、咨询,领导好;     技能培训;     管理规范;     扁平管理,“双休”,https://www.lagou.com/jobs/8695122.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
北京,朝阳区,前端工程师,前端研发工程师-课件平台方向,3-5年,本科,20,40,火花思维,D轮及以上,2000人以上,在线教育,在线教育; React; 全栈工程师; node,“技术大牛”,https://www.lagou.com/jobs/8434337.html?show=3643c2f146f54d7b861ea97e3eb4098a,5/21/2021
